"A total of %1 submission(s) have been sent.","A total of %1 submission(s) have been sent."
"Address","Address"
"An authentication error occurred.","An authentication error occurred."
"Annual Revenue","Annual Revenue"
"Are you sure?","Are you sure?"
"City","City"
"Company","Company"
"Consumer Key","Consumer Key"
"Consumer Secret","Consumer Secret"
"Country","Country"
"Custom Fields","Custom Fields"
"Customer Email","Customer Email"
"Default","Default"
"Enable Salesforce Integration","Enable Salesforce Integration"
"Fax","Fax"
"Field","Field"
"Fields Mapping","Fields Mapping"
"First Name","First Name"
"General settings that are required to connect Salesforce Support and Magento.","General settings that are required to connect Salesforce Support and Magento."
"Last Name","Last Name"
"Lead already exists.","Lead already exists."
"Lead Source","Lead Source"
"Mobile","Mobile"
"Name","Name"
"No email","No email"
"No. of Employees","No. of Employees"
"Password","Password"
"Phone","Phone"
"Salesforce","Salesforce"
"Salesforce consumer key not configured.","Salesforce consumer key not configured."
"Salesforce consumer secret not configured.","Salesforce consumer secret not configured."
"Salesforce Integration Add-on","Salesforce Integration Add-on"
"Salesforce Integration Settings","Salesforce Integration Settings"
"Salesforce Lead Attribute","Salesforce Lead Attribute"
"Salesforce password not configured.","Salesforce password not configured."
"Salesforce username not configured.","Salesforce username not configured."
"Salutation","Salutation"
"Send Lead","Send Lead"
"State/Province","State/Province"
"Street","Street"
"Title","Title"
"Unexpected error","Unexpected error"
"Username","Username"
"Website","Website"
"Zip/Postal Code","Zip/Postal Code"
